Year,UNIT_MEASURE,Value
1996,Број живорођене дјеце по једној жени у фертилном периоду (15-49),1.647
1997,Број живорођене дјеце по једној жени у фертилном периоду (15-49),1.684
1998,Број живорођене дјеце по једној жени у фертилном периоду (15-49),1.558
1999,Број живорођене дјеце по једној жени у фертилном периоду (15-49),1.362
2000,Број живорођене дјеце по једној жени у фертилном периоду (15-49),1.3
2001,Број живорођене дјеце по једној жени у фертилном периоду (15-49),1.4
2002,Број живорођене дјеце по једној жени у фертилном периоду (15-49),1.2
2003,Број живорођене дјеце по једној жени у фертилном периоду (15-49),1.215
2004,Број живорођене дјеце по једној жени у фертилном периоду (15-49),1.217
2005,Број живорођене дјеце по једној жени у фертилном периоду (15-49),1.2
2006,Број живорођене дјеце по једној жени у фертилном периоду (15-49),1.176
2007,Број живорођене дјеце по једној жени у фертилном периоду (15-49),1.258
2008,Број живорођене дјеце по једној жени у фертилном периоду (15-49),1.285
2009,Број живорођене дјеце по једној жени у фертилном периоду (15-49),1.303
2010,Број живорођене дјеце по једној жени у фертилном периоду (15-49),1.266
2011,Број живорођене дјеце по једној жени у фертилном периоду (15-49),1.205
2012,Број живорођене дјеце по једној жени у фертилном периоду (15-49),1.349
2013,Број живорођене дјеце по једној жени у фертилном периоду (15-49),1.276
2014,Број живорођене дјеце по једној жени у фертилном периоду (15-49),1.258
2015,Број живорођене дјеце по једној жени у фертилном периоду (15-49),1.242
2016,Број живорођене дјеце по једној жени у фертилном периоду (15-49),1.258
2017,Број живорођене дјеце по једној жени у фертилном периоду (15-49),1.259
2018,Број живорођене дјеце по једној жени у фертилном периоду (15-49),1.252
2019,Број живорођене дјеце по једној жени у фертилном периоду (15-49),1.204
