Year,UNIT_MEASURE,Врста установе,Value
2011,Број,Оба пола,227
2012,Број,Оба пола,246
2013,Број,Оба пола,261
2014,Број,Оба пола,292
2015,Број,Оба пола,320
2016,Број,Оба пола,335
2017,Број,Оба пола,335
2018,Број,Оба пола,362
2019,Број,Оба пола,390
2020,Број,Оба пола,399
2011,Број,Јавна,176
2012,Број,Јавна,180
2013,Број,Јавна,180
2014,Број,Јавна,181
2015,Број,Јавна,192
2016,Број,Јавна,198
2017,Број,Јавна,200
2018,Број,Јавна,205
2019,Број,Јавна,209
2020,Број,Јавна,215
2011,Број,Приватна,51
2012,Број,Приватна,66
2013,Број,Приватна,81
2014,Број,Приватна,111
2015,Број,Приватна,128
2016,Број,Приватна,137
2017,Број,Приватна,135
2018,Број,Приватна,157
2019,Број,Приватна,181
2020,Број,Приватна,184
