Year,UNIT_MEASURE,Пол,Value
2011,Број,Оба пола,50567
2012,Број,Оба пола,41834
2013,Број,Оба пола,33672
2014,Број,Оба пола,36993
2015,Број,Оба пола,36434
2016,Број,Оба пола,36126
2017,Број,Оба пола,35694
2018,Број,Оба пола,32144
2019,Број,Оба пола,31728
2020,Број,Оба пола,30463
2021,Број,Оба пола,29633
2022,Број,Оба пола,29092
2023,Број,Оба пола,30148
2024,Број,Оба пола,29928
2011,Број,M,25977
2012,Број,M,21761
2013,Број,M,17181
2014,Број,M,18730
2015,Број,M,18662
2016,Број,M,18441
2017,Број,M,18266
2018,Број,M,16159
2019,Број,M,16244
2020,Број,M,15564
2021,Број,M,15135
2022,Број,M,14940
2023,Број,M,15511
2024,Број,M,15382
2011,Број,Ж,24590
2012,Број,Ж,20073
2013,Број,Ж,16491
2014,Број,Ж,18263
2015,Број,Ж,17772
2016,Број,Ж,17685
2017,Број,Ж,17428
2018,Број,Ж,15985
2019,Број,Ж,15484
2020,Број,Ж,14899
2021,Број,Ж,14498
2022,Број,Ж,14152
2023,Број,Ж,14637
2024,Број,Ж,14546
