Year,UNIT_MEASURE,Врста школе,Пол,Value
2011,Број,Оба пола,Оба пола,163284
2012,Број,Оба пола,Оба пола,166662
2013,Број,Оба пола,Оба пола,156350
2014,Број,Оба пола,Оба пола,143881
2015,Број,Оба пола,Оба пола,133228
2016,Број,Оба пола,Оба пола,126824
2017,Број,Оба пола,Оба пола,124148
2018,Број,Оба пола,Оба пола,117475
2019,Број,Оба пола,Оба пола,112796
2020,Број,Оба пола,Оба пола,110404
2021,Број,Оба пола,Оба пола,108257
2022,Број,Оба пола,Оба пола,107936
2023,Број,Оба пола,Оба пола,107740
2011,Број,Гимназија,Оба пола,41081
2012,Број,Гимназија,Оба пола,42225
2013,Број,Гимназија,Оба пола,40065
2014,Број,Гимназија,Оба пола,37132
2015,Број,Гимназија,Оба пола,33321
2016,Број,Гимназија,Оба пола,30615
2017,Број,Гимназија,Оба пола,29591
2018,Број,Гимназија,Оба пола,26731
2019,Број,Гимназија,Оба пола,24817
2020,Број,Гимназија,Оба пола,23867
2021,Број,Гимназија,Оба пола,22685
2022,Број,Гимназија,Оба пола,22100
2023,Број,Гимназија,Оба пола,21605
2011,Број,Техничке школе,Оба пола,83704
2012,Број,Техничке школе,Оба пола,86539
2013,Број,Техничке школе,Оба пола,82743
2014,Број,Техничке школе,Оба пола,77388
2015,Број,Техничке школе,Оба пола,72109
2016,Број,Техничке школе,Оба пола,68743
2017,Број,Техничке школе,Оба пола,67895
2018,Број,Техничке школе,Оба пола,64706
2019,Број,Техничке школе,Оба пола,62846
2020,Број,Техничке школе,Оба пола,61811
2021,Број,Техничке школе,Оба пола,61489
2022,Број,Техничке школе,Оба пола,62342
2023,Број,Техничке школе,Оба пола,63332
2011,Број,Умјетничке школе,Оба пола,1514
2012,Број,Умјетничке школе,Оба пола,1520
2013,Број,Умјетничке школе,Оба пола,1445
2014,Број,Умјетничке школе,Оба пола,1291
2015,Број,Умјетничке школе,Оба пола,1216
2016,Број,Умјетничке школе,Оба пола,1203
2017,Број,Умјетничке школе,Оба пола,1154
2018,Број,Умјетничке школе,Оба пола,1166
2019,Број,Умјетничке школе,Оба пола,1139
2020,Број,Умјетничке школе,Оба пола,1151
2021,Број,Умјетничке школе,Оба пола,1355
2022,Број,Умјетничке школе,Оба пола,1334
2023,Број,Умјетничке школе,Оба пола,1268
2011,Број,Вјерске школе,Оба пола,2095
2012,Број,Вјерске школе,Оба пола,2266
2013,Број,Вјерске школе,Оба пола,2258
2014,Број,Вјерске школе,Оба пола,2222
2015,Број,Вјерске школе,Оба пола,2189
2016,Број,Вјерске школе,Оба пола,2227
2017,Број,Вјерске школе,Оба пола,2309
2018,Број,Вјерске школе,Оба пола,2245
2019,Број,Вјерске школе,Оба пола,2197
2020,Број,Вјерске школе,Оба пола,2196
2021,Број,Вјерске школе,Оба пола,2150
2022,Број,Вјерске школе,Оба пола,2224
2023,Број,Вјерске школе,Оба пола,2235
2011,Број,Стручне школ,Оба пола,34479
2012,Број,Стручне школ,Оба пола,33672
2013,Број,Стручне школ,Оба пола,29414
2014,Број,Стручне школ,Оба пола,25463
2015,Број,Стручне школ,Оба пола,23995
2016,Број,Стручне школ,Оба пола,23642
2017,Број,Стручне школ,Оба пола,22819
2018,Број,Стручне школ,Оба пола,22280
2019,Број,Стручне школ,Оба пола,21481
2020,Број,Стручне школ,Оба пола,21054
2021,Број,Стручне школ,Оба пола,20310
2022,Број,Стручне школ,Оба пола,19704
2023,Број,Стручне школ,Оба пола,19054
2011,Број,Средње школе за дјецу са посебним потребама,Оба пола,411
