Year,UNIT_MEASURE,Врста образовања,Пол,Value
2014,Број,Укупно,Оба пола,3366
2014,Број,Образовање,Оба пола,432
2014,Број,Умјетност и хуманистичке науке,Оба пола,296
2014,Број,"Друштвене науке, новинарство и информисање",Оба пола,635
2014,Број,"Пословање, администрација, и право",Оба пола,538
2014,Број,"Природне науке, математика, и статистика",Оба пола,132
2014,Број,Информационе и комуникационе технологије,Оба пола,126
2014,Број,"Инжењерство, производња и грађевинарство",Оба пола,505
2014,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,205
2014,Број,Здравство и социјална заштита,Оба пола,337
2014,Број,Услуге,Оба пола,114
2014,Број,Непознато,Оба пола,46
2014,Број,Укупно,M,1330
2014,Број,Образовање,M,125
2014,Број,Умјетност и хуманистичке науке,M,73
2014,Број,"Друштвене науке, новинарство и информисање",M,261
2014,Број,"Пословање, администрација, и право",M,200
2014,Број,"Природне науке, математика, и статистика",M,58
2014,Број,Информационе и комуникационе технологије,M,72
2014,Број,"Инжењерство, производња и грађевинарство",M,289
2014,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,85
2014,Број,Здравство и социјална заштита,M,83
2014,Број,Услуге,M,71
2014,Број,Непознато,M,13
2014,Број,Укупно,Ж,2036
2014,Број,Образовање,Ж,307
2014,Број,Умјетност и хуманистичке науке,Ж,223
2014,Број,"Друштвене науке, новинарство и информисање",Ж,374
2014,Број,"Пословање, администрација, и право",Ж,338
2014,Број,"Природне науке, математика, и статистика",Ж,74
2014,Број,Информационе и комуникационе технологије,Ж,54
2014,Број,"Инжењерство, производња и грађевинарство",Ж,216
2014,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,120
2014,Број,Здравство и социјална заштита,Ж,254
2014,Број,Услуге,Ж,43
2014,Број,Непознато,Ж,33
2015,Број,Укупно,Оба пола,3636
2015,Број,Образовање,Оба пола,388
2015,Број,Умјетност и хуманистичке науке,Оба пола,338
2015,Број,"Друштвене науке, новинарство и информисање",Оба пола,397
2015,Број,"Пословање, администрација, и право",Оба пола,658
2015,Број,"Природне науке, математика, и статистика",Оба пола,294
2015,Број,Информационе и комуникационе технологије,Оба пола,99
2015,Број,"Инжењерство, производња и грађевинарство",Оба пола,572
2015,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,212
2015,Број,Здравство и социјална заштита,Оба пола,422
2015,Број,Услуге,Оба пола,189
2015,Број,Непознато,Оба пола,67
2015,Број,Укупно,M,1468
2015,Број,Образовање,M,88
2015,Број,Умјетност и хуманистичке науке,M,102
2015,Број,"Друштвене науке, новинарство и информисање",M,172
2015,Број,"Пословање, администрација, и право",M,244
2015,Број,"Природне науке, математика, и статистика",M,83
2015,Број,Информационе и комуникационе технологије,M,67
2015,Број,"Инжењерство, производња и грађевинарство",M,357
2015,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,95
2015,Број,Здравство и социјална заштита,M,105
2015,Број,Услуге,M,113
2015,Број,Непознато,M,42
2015,Број,Укупно,Ж,2168
2015,Број,Образовање,Ж,300
2015,Број,Умјетност и хуманистичке науке,Ж,236
2015,Број,"Друштвене науке, новинарство и информисање",Ж,225
2015,Број,"Пословање, администрација, и право",Ж,414
