Year,Пол,Старосна доб,UNIT_MEASURE,Value
2010,Оба пола,15-24,Број,28.0
2011,Оба пола,15-24,Број,27.7
2012,Оба пола,15-24,Број,28.4
2013,Оба пола,15-24,Број,25.8
2014,Оба пола,15-24,Број,26.1
2015,Оба пола,15-24,Број,27.7
2016,Оба пола,15-24,Број,26.4
2017,Оба пола,15-24,Број,24.3
2018,Оба пола,15-24,Број,21.6
2019,Оба пола,15-24,Број,21.0
2020,Оба пола,15-24,Број,21.6
2015,Оба пола,25-29,Број,44.6
2016,Оба пола,25-29,Број,42.6
2017,Оба пола,25-29,Број,39.5
2018,Оба пола,25-29,Број,35.9
2019,Оба пола,25-29,Број,36.2
2020,Оба пола,25-29,Број,34.3
2015,Оба пола,15-29,Број,32.8
2016,Оба пола,15-29,Број,31.4
2017,Оба пола,15-29,Број,28.8
2018,Оба пола,15-29,Број,25.5
2019,Оба пола,15-29,Број,25.0
2020,Оба пола,15-29,Број,25.9
2010,M,15-24,Број,28.1
2011,M,15-24,Број,29.2
2012,M,15-24,Број,30.5
2013,M,15-24,Број,27.4
2014,M,15-24,Број,27.9
2015,M,15-24,Број,29.2
2016,M,15-24,Број,28.0
2017,M,15-24,Број,24.5
2018,M,15-24,Број,22.1
2019,M,15-24,Број,20.7
2020,M,15-24,Број,20.3
2015,M,25-29,Број,39.6
2016,M,25-29,Број,35.7
2017,M,25-29,Број,33.2
2018,M,25-29,Број,28.7
2019,M,25-29,Број,28.0
2020,M,25-29,Број,25.2
2015,M,15-29,Број,32.4
2016,M,15-29,Број,30.4
2017,M,15-29,Број,27.0
2018,M,15-29,Број,24.0
2019,M,15-29,Број,22.6
2020,M,15-29,Број,22.0
2010,Ж,15-24,Број,28.0
2011,Ж,15-24,Број,26.1
2012,Ж,15-24,Број,26.2
2013,Ж,15-24,Број,24.1
2014,Ж,15-24,Број,24.0
2015,Ж,15-24,Број,26.0
2016,Ж,15-24,Број,24.7
2017,Ж,15-24,Број,24.0
2018,Ж,15-24,Број,21.1
2019,Ж,15-24,Број,21.4
2020,Ж,15-24,Број,23.0
2015,Ж,25-29,Број,50.7
2016,Ж,25-29,Број,50.6
2017,Ж,25-29,Број,47.0
2018,Ж,25-29,Број,45.8
2019,Ж,25-29,Број,46.6
2020,Ж,25-29,Број,43.9
2015,Ж,15-29,Број,33.3
2016,Ж,15-29,Број,32.5
2017,Ж,15-29,Број,30.8
2018,Ж,15-29,Број,27.3
2019,Ж,15-29,Број,27.9
2020,Ж,15-29,Број,30.1
