Year,Quarterly,UNIT_MEASURE,Пол,Старосна доб,Value
2021,I квартал,%,Оба пола,15 - 89,47.0
2021,I квартал,%,Оба пола,15 - 24,33.0
2021,I квартал,%,Оба пола,25 - 49,75.0
2021,I квартал,%,Оба пола,50 - 64,46.0
2021,I квартал,%,Оба пола,65+,4.0
2021,I квартал,%,Оба пола,15 - 64,58.0
2021,I квартал,%,Оба пола,20 - 64,62.0
2021,I квартал,%,Оба пола,25 - 34,75.0
2021,I квартал,%,Оба пола,15 - 74,51.0
2021,I квартал,%,Оба пола,65 - 74,5.0
2021,I квартал,%,M,15 - 89,59.0
2021,I квартал,%,M,15 - 24,40.0
2021,I квартал,%,M,25 - 49,88.0
2021,I квартал,%,M,50 - 64,60.0
2021,I квартал,%,M,65+,5.0
2021,I квартал,%,M,15 - 64,71.0
2021,I квартал,%,M,20 - 64,76.0
2021,I квартал,%,M,25 - 34,87.0
2021,I квартал,%,M,15 - 74,63.0
2021,I квартал,%,M,65 - 74,6.0
2021,I квартал,%,Ж,15 - 89,36.0
2021,I квартал,%,Ж,15 - 24,25.0
2021,I квартал,%,Ж,25 - 49,62.0
2021,I квартал,%,Ж,50 - 64,32.0
2021,I квартал,%,Ж,65+,3.0
2021,I квартал,%,Ж,15 - 64,46.0
2021,I квартал,%,Ж,20 - 64,49.0
2021,I квартал,%,Ж,25 - 34,61.0
2021,I квартал,%,Ж,15 - 74,40.0
2021,I квартал,%,Ж,65 - 74,5.0
2021,Q2,%,Оба пола,15 - 89,48.0
2021,Q2,%,Оба пола,15 - 24,32.0
2021,Q2,%,Оба пола,25 - 49,76.0
2021,Q2,%,Оба пола,50 - 64,46.0
2021,Q2,%,Оба пола,65+,4.0
2021,Q2,%,Оба пола,15 - 64,59.0
2021,Q2,%,Оба пола,20 - 64,63.0
2021,Q2,%,Оба пола,25 - 34,74.0
2021,Q2,%,Оба пола,15 - 74,51.0
2021,Q2,%,Оба пола,65 - 74,5.0
2021,Q2,%,M,15 - 89,59.0
2021,Q2,%,M,15 - 24,39.0
2021,Q2,%,M,25 - 49,88.0
2021,Q2,%,M,50 - 64,60.0
2021,Q2,%,M,65+,6.0
2021,Q2,%,M,15 - 64,71.0
