Year,Квартал,UNIT_MEASURE,Пол,Старосна доб,Value
2021,I квартал,%,Оба пола,15 - 74,19.1
2021,I квартал,%,Оба пола,15 - 24,40.4
2021,I квартал,%,Оба пола,25 - 49,17.3
2021,I квартал,%,Оба пола,50 - 64,15.5
2021,I квартал,%,Оба пола,65+,21.0
2021,I квартал,%,Оба пола,15 - 64,19.1
2021,I квартал,%,Оба пола,20 - 64,18.6
2021,I квартал,%,Оба пола,25 - 34,22.0
2021,I квартал,%,Оба пола,15 - 74,19.1
2021,I квартал,%,Оба пола,65 - 74,21.0
2021,I квартал,%,M,15 - 74,15.6
2021,I квартал,%,M,15 - 24,36.0
2021,I квартал,%,M,25 - 49,13.2
2021,I квартал,%,M,50 - 64,13.3
2021,I квартал,%,M,65+,17.6
2021,I квартал,%,M,15 - 64,15.6
2021,I квартал,%,M,20 - 64,15.0
2021,I квартал,%,M,25 - 34,17.3
2021,I квартал,%,M,15 - 74,15.6
2021,I квартал,%,M,65 - 74,17.6
2021,I квартал,%,Ж,15 - 74,24.5
2021,I квартал,%,Ж,15 - 24,48.0
2021,I квартал,%,Ж,25 - 49,23.2
2021,I квартал,%,Ж,50 - 64,19.2
2021,I квартал,%,Ж,65+,24.9
2021,I квартал,%,Ж,15 - 64,24.5
2021,I квартал,%,Ж,20 - 64,24.2
2021,I квартал,%,Ж,25 - 34,29.1
2021,I квартал,%,Ж,15 - 74,24.5
2021,I квартал,%,Ж,65 - 74,24.9
2021,II квартал,%,Оба пола,15 - 74,18.1
2021,II квартал,%,Оба пола,15 - 24,39.9
2021,II квартал,%,Оба пола,25 - 49,17.4
2021,II квартал,%,Оба пола,50 - 64,12.6
2021,II квартал,%,Оба пола,15 - 64,18.3
2021,II квартал,%,Оба пола,20 - 64,17.9
2021,II квартал,%,Оба пола,25 - 34,21.8
2021,II квартал,%,Оба пола,15 - 74,18.1
2021,II квартал,%,M,15 - 74,15.2
2021,II квартал,%,M,15 - 24,35.7
2021,II квартал,%,M,25 - 49,13.5
2021,II квартал,%,M,50 - 64,12.2
2021,II квартал,%,M,15 - 64,14.9
2021,II квартал,%,M,20 - 64,14.9
2021,II квартал,%,M,25 - 34,17.6
2021,II квартал,%,M,15 - 74,15.2
2021,II квартал,%,Ж,15 - 74,22.5
2021,II квартал,%,Ж,15 - 24,46.9
2021,II квартал,%,Ж,25 - 49,23.0
2021,II квартал,%,Ж,50 - 64,13.4
2021,II квартал,%,Ж,15 - 64,22.9
2021,II квартал,%,Ж,20 - 64,22.7
2021,II квартал,%,Ж,25 - 34,28.0
2021,II квартал,%,Ж,15 - 74,22.5
2021,III квартал,%,Оба пола,15 - 74,16.4
2021,III квартал,%,Оба пола,15 - 24,37.8
2021,III квартал,%,Оба пола,25 - 49,15.7
2021,III квартал,%,Оба пола,50 - 64,11.0
2021,III квартал,%,Оба пола,15 - 64,16.5
2021,III квартал,%,Оба пола,20 - 64,16.1
2021,III квартал,%,Оба пола,25 - 34,18.9
2021,III квартал,%,Оба пола,15 - 74,16.4
2021,III квартал,%,M,15 - 74,13.6
2021,III квартал,%,M,15 - 24,33.3
2021,III квартал,%,M,25 - 49,12.6
2021,III квартал,%,M,50 - 64,9.4
2021,III квартал,%,M,15 - 64,13.7
2021,III квартал,%,M,20 - 64,13.2
2021,III квартал,%,M,25 - 34,16.6
2021,III квартал,%,M,15 - 74,13.6
2021,III квартал,%,Ж,15 - 74,20.8
2021,III квартал,%,Ж,15 - 24,45.3
2021,III квартал,%,Ж,25 - 49,20.3
2021,III квартал,%,Ж,50 - 64,13.9
2021,III квартал,%,Ж,15 - 64,21.0
2021,III квартал,%,Ж,20 - 64,20.6
2021,III квартал,%,Ж,25 - 34,22.4
2021,III квартал,%,Ж,15 - 74,20.8
2021,IV квартал,%,Оба пола,15 - 74,16.1
2021,IV квартал,%,Оба пола,15 - 24,34.9
2021,IV квартал,%,Оба пола,25 - 49,15.3
2021,IV квартал,%,Оба пола,50 - 64,12.0
2021,IV квартал,%,Оба пола,15 - 64,16.2
2021,IV квартал,%,Оба пола,20 - 64,15.9
2021,IV квартал,%,Оба пола,25 - 34,18.9
2021,IV квартал,%,Оба пола,15 - 74,16.1
2021,IV квартал,%,M,15 - 74,13.4
2021,IV квартал,%,M,15 - 24,33.1
2021,IV квартал,%,M,25 - 49,12.3
2021,IV квартал,%,M,50 - 64,9.6
2021,IV квартал,%,M,15 - 64,13.5
2021,IV квартал,%,M,20 - 64,13.1
2021,IV квартал,%,M,25 - 34,16.3
2021,IV квартал,%,M,15 - 74,13.4
2021,IV квартал,%,Ж,15 - 74,20.3
2021,IV квартал,%,Ж,15 - 24,37.8
2021,IV квартал,%,Ж,25 - 49,19.6
2021,IV квартал,%,Ж,50 - 64,16.4
2021,IV квартал,%,Ж,15 - 64,20.5
2021,IV квартал,%,Ж,20 - 64,20.1
2021,IV квартал,%,Ж,25 - 34,22.7
2021,IV квартал,%,Ж,15 - 74,20.3
2022,I квартал,%,Оба пола,15 - 74,16.7
2022,I квартал,%,Оба пола,15 - 24,35.7
2022,I квартал,%,Оба пола,25 - 49,15.9
2022,I квартал,%,Оба пола,50 - 64,13.1
2022,I квартал,%,Оба пола,15 - 64,16.8
2022,I квартал,%,Оба пола,20 - 64,16.6
2022,I квартал,%,Оба пола,25 - 34,21.0
2022,I квартал,%,Оба пола,15 - 74,16.7
2022,I квартал,%,M,15 - 74,13.8
2022,I квартал,%,M,15 - 24,31.7
2022,I квартал,%,M,25 - 49,12.6
2022,I квартал,%,M,50 - 64,11.3
2022,I квартал,%,M,15 - 64,13.8
2022,I квартал,%,M,20 - 64,13.5
2022,I квартал,%,M,25 - 34,16.3
2022,I квартал,%,M,15 - 74,13.8
2022,I квартал,%,Ж,15 - 74,21.1
2022,I квартал,%,Ж,15 - 24,42.0
2022,I квартал,%,Ж,25 - 49,20.6
2022,I квартал,%,Ж,50 - 64,16.3
2022,I квартал,%,Ж,15 - 64,21.3
2022,I квартал,%,Ж,20 - 64,21.1
2022,I квартал,%,Ж,25 - 34,27.5
2022,I квартал,%,Ж,15 - 74,21.1
2022,II квартал,%,Оба пола,15 - 74,15.7
2022,II квартал,%,Оба пола,15 - 24,36.3
2022,II квартал,%,Оба пола,25 - 49,14.8
2022,II квартал,%,Оба пола,50 - 64,11.8
2022,II квартал,%,Оба пола,15 - 64,15.8
2022,II квартал,%,Оба пола,20 - 64,15.6
2022,II квартал,%,Оба пола,25 - 34,18.0
2022,II квартал,%,Оба пола,15 - 74,15.7
2022,II квартал,%,M,15 - 74,12.9
2022,II квартал,%,M,15 - 24,33.0
2022,II квартал,%,M,25 - 49,11.1
2022,II квартал,%,M,50 - 64,11.1
2022,II квартал,%,M,15 - 64,13.0
2022,II квартал,%,M,20 - 64,12.7
2022,II квартал,%,M,25 - 34,12.0
2022,II квартал,%,M,15 - 74,12.9
2022,II квартал,%,Ж,15 - 74,20.1
2022,II квартал,%,Ж,15 - 24,41.5
2022,II квартал,%,Ж,25 - 49,20.1
2022,II квартал,%,Ж,50 - 64,13.1
2022,II квартал,%,Ж,15 - 64,20.3
2022,II квартал,%,Ж,20 - 64,20.0
2022,II квартал,%,Ж,25 - 34,27.0
2022,II квартал,%,Ж,15 - 74,20.1
2022,III квартал,%,Оба пола,15 - 74,14.8
2022,III квартал,%,Оба пола,15 - 24,36.2
2022,III квартал,%,Оба пола,25 - 49,13.9
2022,III квартал,%,Оба пола,50 - 64,10.9
2022,III квартал,%,Оба пола,15 - 64,14.9
2022,III квартал,%,Оба пола,20 - 64,14.6
2022,III квартал,%,Оба пола,25 - 34,17.2
2022,III квартал,%,Оба пола,15 - 74,14.8
2022,III квартал,%,M,15 - 74,12.1
2022,III квартал,%,M,15 - 24,31.8
2022,III квартал,%,M,25 - 49,10.9
2022,III квартал,%,M,50 - 64,9.2
2022,III квартал,%,M,15 - 64,12.2
2022,III квартал,%,M,20 - 64,11.8
2022,III квартал,%,M,25 - 34,13.5
2022,III квартал,%,M,15 - 74,12.1
2022,III квартал,%,Ж,15 - 74,19.3
2022,III квартал,%,Ж,15 - 24,44.2
2022,III квартал,%,Ж,25 - 49,18.4
2022,III квартал,%,Ж,50 - 64,14.2
2022,III квартал,%,Ж,15 - 64,19.4
2022,III квартал,%,Ж,20 - 64,19.2
2022,III квартал,%,Ж,25 - 34,22.7
2022,III квартал,%,Ж,15 - 74,19.3
