Year,Value,UNIT_MEASURE
1965,107.61,Број дјечака на 100 дјевојчица
1970,107.0,Број дјечака на 100 дјевојчица
1975,106.91,Број дјечака на 100 дјевојчица
1980,106.81,Број дјечака на 100 дјевојчица
1988,107.9,Број дјечака на 100 дјевојчица
1989,105.4,Број дјечака на 100 дјевојчица
1990,106.56,Број дјечака на 100 дјевојчица
1991,105.61,Број дјечака на 100 дјевојчица
1996,109.92,Број дјечака на 100 дјевојчица
1997,109.51,Број дјечака на 100 дјевојчица
1998,108.54,Број дјечака на 100 дјевојчица
1999,103.88,Број дјечака на 100 дјевојчица
2000,106.53,Број дјечака на 100 дјевојчица
2001,105.91,Број дјечака на 100 дјевојчица
2002,105.82,Број дјечака на 100 дјевојчица
2003,108.44,Број дјечака на 100 дјевојчица
2004,106.55,Број дјечака на 100 дјевојчица
2005,105.75,Број дјечака на 100 дјевојчица
2006,106.44,Број дјечака на 100 дјевојчица
2007,107.56,Број дјечака на 100 дјевојчица
2008,105.99,Број дјечака на 100 дјевојчица
2009,108.77,Број дјечака на 100 дјевојчица
2010,106.31,Број дјечака на 100 дјевојчица
2011,108.19,Број дјечака на 100 дјевојчица
2012,106.56,Број дјечака на 100 дјевојчица
2013,106.64,Број дјечака на 100 дјевојчица
2014,106.31,Број дјечака на 100 дјевојчица
2015,105.85,Број дјечака на 100 дјевојчица
2016,108.63,Број дјечака на 100 дјевојчица
2017,107.9,Број дјечака на 100 дјевојчица
2018,107.53,Број дјечака на 100 дјевојчица
2019,109.24,Број дјечака на 100 дјевојчица
2020,108.2,Број дјечака на 100 дјевојчица
