Year,UNIT_MEASURE,SEX,AGE,Municipality,Value
2013,NUMBER,_T,Total,banja_luka,185042
2013,NUMBER,M,Total,banja_luka,89148
2013,NUMBER,F,Total,banja_luka,95894
2013,NUMBER,_T,Total,banovici,22773
2013,NUMBER,M,Total,banovici,11392
2013,NUMBER,F,Total,banovici,11381
2013,NUMBER,_T,Total,berkovici,2114
2013,NUMBER,M,Total,berkovici,1059
2013,NUMBER,F,Total,berkovici,1055
2013,NUMBER,_T,Total,bihac,56261
2013,NUMBER,M,Total,bihac,27041
2013,NUMBER,F,Total,bihac,29220
2013,NUMBER,_T,Total,bijeljina,107715
2013,NUMBER,M,Total,bijeljina,52827
2013,NUMBER,F,Total,bijeljina,54888
2013,NUMBER,_T,Total,bileca,10807
2013,NUMBER,M,Total,bileca,5454
2013,NUMBER,F,Total,bileca,5353
2013,NUMBER,_T,Total,bosanska_krupa,25545
2013,NUMBER,M,Total,bosanska_krupa,12548
2013,NUMBER,F,Total,bosanska_krupa,12997
2013,NUMBER,_T,Total,bosanski_petrovac,7328
2013,NUMBER,M,Total,bosanski_petrovac,3678
2013,NUMBER,F,Total,bosanski_petrovac,3650
2013,NUMBER,_T,Total,bosansko_grahovo,2449
2013,NUMBER,M,Total,bosansko_grahovo,1287
2013,NUMBER,F,Total,bosansko_grahovo,1162
2013,NUMBER,_T,Total,bratunac,20340
2013,NUMBER,M,Total,bratunac,10091
2013,NUMBER,F,Total,bratunac,10249
2013,NUMBER,_T,Total,brcko,83516
2013,NUMBER,M,Total,brcko,41250
2013,NUMBER,F,Total,brcko,42266
2013,NUMBER,_T,Total,breza,14168
2013,NUMBER,M,Total,breza,6952
2013,NUMBER,F,Total,breza,7216
2013,NUMBER,_T,Total,brod,16619
2013,NUMBER,M,Total,brod,8143
2013,NUMBER,F,Total,brod,8476
2013,NUMBER,_T,Total,bugojno,31470
2013,NUMBER,M,Total,bugojno,15635
2013,NUMBER,F,Total,bugojno,15835
2013,NUMBER,_T,Total,busovaca,17910
2013,NUMBER,M,Total,busovaca,9134
2013,NUMBER,F,Total,busovaca,8776
2013,NUMBER,_T,Total,buzim,19340
2013,NUMBER,M,Total,buzim,9885
2013,NUMBER,F,Total,buzim,9455
2013,NUMBER,_T,Total,cazin,66149
2013,NUMBER,M,Total,cazin,33072
2013,NUMBER,F,Total,cazin,33077
2013,NUMBER,_T,Total,sarajevo_centar,55181
2013,NUMBER,M,Total,sarajevo_centar,25369
2013,NUMBER,F,Total,sarajevo_centar,29812
2013,NUMBER,_T,Total,cajnice,4895
2013,NUMBER,M,Total,cajnice,2474
2013,NUMBER,F,Total,cajnice,2421
2013,NUMBER,_T,Total,capljina,26157
2013,NUMBER,M,Total,capljina,12947
2013,NUMBER,F,Total,capljina,13210
2013,NUMBER,_T,Total,celic,10502
2013,NUMBER,M,Total,celic,5256
2013,NUMBER,F,Total,celic,5246
2013,NUMBER,_T,Total,celinac,15548
2013,NUMBER,M,Total,celinac,7728
2013,NUMBER,F,Total,celinac,7820
2013,NUMBER,_T,Total,citluk,18140
2013,NUMBER,M,Total,citluk,8937
2013,NUMBER,F,Total,citluk,9203
2013,NUMBER,_T,Total,derventa,27404
2013,NUMBER,M,Total,derventa,13397
2013,NUMBER,F,Total,derventa,14007
2013,NUMBER,_T,Total,doboj,71441
2013,NUMBER,M,Total,doboj,34916
2013,NUMBER,F,Total,doboj,36525
2013,NUMBER,_T,Total,doboj_istok,10248
2013,NUMBER,M,Total,doboj_istok,5061
2013,NUMBER,F,Total,doboj_istok,5187
2013,NUMBER,_T,Total,doboj_jug,4137
2013,NUMBER,M,Total,doboj_jug,2065
2013,NUMBER,F,Total,doboj_jug,2072
2013,NUMBER,_T,Total,dobretici,1629
2013,NUMBER,M,Total,dobretici,905
2013,NUMBER,F,Total,dobretici,724
2013,NUMBER,_T,Total,domaljevac_samac,4771
2013,NUMBER,M,Total,domaljevac_samac,2373
2013,NUMBER,F,Total,domaljevac_samac,2398
2013,NUMBER,_T,Total,donji_vakuf,13985
2013,NUMBER,M,Total,donji_vakuf,6922
2013,NUMBER,F,Total,donji_vakuf,7063
2013,NUMBER,_T,Total,donji_zabar,3809
2013,NUMBER,M,Total,donji_zabar,1920
2013,NUMBER,F,Total,donji_zabar,1889
2013,NUMBER,_T,Total,drvar,7036
2013,NUMBER,M,Total,drvar,3473
2013,NUMBER,F,Total,drvar,3563
2013,NUMBER,_T,Total,foca_fbih,1933
2013,NUMBER,M,Total,foca_fbih,998
2013,NUMBER,F,Total,foca_fbih,935
2013,NUMBER,_T,Total,foca_rs,18288
2013,NUMBER,M,Total,foca_rs,9236
2013,NUMBER,F,Total,foca_rs,9052
2013,NUMBER,_T,Total,fojnica,12356
2013,NUMBER,M,Total,fojnica,6197
2013,NUMBER,F,Total,fojnica,6159
2013,NUMBER,_T,Total,gacko,8990
2013,NUMBER,M,Total,gacko,4556
2013,NUMBER,F,Total,gacko,4434
2013,NUMBER,_T,Total,glamoc,3860
2013,NUMBER,M,Total,glamoc,1963
