Year,UNIT_MEASURE,type_of_institution,SEX,Value
2015,NUMBER,_T,_T,7871
2015,NUMBER,_T,M,3645
2015,NUMBER,_T,F,4226
2015,NUMBER,homes_for_children_and_youth_without_parental_care,_T,997
2015,NUMBER,homes_for_children_and_youth_without_parental_care,M,527
2015,NUMBER,homes_for_children_and_youth_without_parental_care,F,470
2015,NUMBER,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,_T,1742
2015,NUMBER,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,M,1041
2015,NUMBER,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,F,701
2015,NUMBER,social_welfare_institutions_for_adults_with_disabilities,_T,282
2015,NUMBER,social_welfare_institutions_for_adults_with_disabilities,M,201
2015,NUMBER,social_welfare_institutions_for_adults_with_disabilities,F,81
2015,NUMBER,social_welfare_institutions_for_adults,_T,4850
2015,NUMBER,social_welfare_institutions_for_adults,M,1876
2015,NUMBER,social_welfare_institutions_for_adults,F,2974
2016,NUMBER,_T,_T,9249
2016,NUMBER,_T,M,4455
2016,NUMBER,_T,F,4794
2016,NUMBER,homes_for_children_and_youth_without_parental_care,_T,970
2016,NUMBER,homes_for_children_and_youth_without_parental_care,M,487
2016,NUMBER,homes_for_children_and_youth_without_parental_care,F,483
2016,NUMBER,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,_T,2742
2016,NUMBER,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,M,1668
2016,NUMBER,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,F,1074
2016,NUMBER,social_welfare_institutions_for_adults_with_disabilities,_T,213
2016,NUMBER,social_welfare_institutions_for_adults_with_disabilities,M,141
2016,NUMBER,social_welfare_institutions_for_adults_with_disabilities,F,72
2016,NUMBER,social_welfare_institutions_for_adults,_T,5324
2016,NUMBER,social_welfare_institutions_for_adults,M,2159
2016,NUMBER,social_welfare_institutions_for_adults,F,3165
2017,NUMBER,_T,_T,9800
2017,NUMBER,_T,M,4489
2017,NUMBER,_T,F,5311
