Year,UNIT_MEASURE,Type_of_school,SEX,Value
2011,NUMBER,_T,_T,35349
2012,NUMBER,_T,_T,34791
2013,NUMBER,_T,_T,40630
2014,NUMBER,_T,_T,43991
2015,NUMBER,_T,_T,43318
2016,NUMBER,_T,_T,35897
2017,NUMBER,_T,_T,31761
2018,NUMBER,_T,_T,32963
2019,NUMBER,_T,_T,32540
2020,NUMBER,_T,_T,31140
2011,NUMBER,gymnasium,_T,8863
2012,NUMBER,gymnasium,_T,8101
2013,NUMBER,gymnasium,_T,9732
2014,NUMBER,gymnasium,_T,10855
2015,NUMBER,gymnasium,_T,11920
2016,NUMBER,gymnasium,_T,9210
2017,NUMBER,gymnasium,_T,7893
2018,NUMBER,gymnasium,_T,7799
2019,NUMBER,gymnasium,_T,7462
2020,NUMBER,gymnasium,_T,7010
2011,NUMBER,technical_schools,_T,17510
2012,NUMBER,technical_schools,_T,16553
2013,NUMBER,technical_schools,_T,19679
2014,NUMBER,technical_schools,_T,21299
2015,NUMBER,technical_schools,_T,21426
2016,NUMBER,technical_schools,_T,18617
2017,NUMBER,technical_schools,_T,15815
2018,NUMBER,technical_schools,_T,16988
2019,NUMBER,technical_schools,_T,17092
2020,NUMBER,technical_schools,_T,16116
2011,NUMBER,art_schools,_T,276
2012,NUMBER,art_schools,_T,293
2013,NUMBER,art_schools,_T,316
2014,NUMBER,art_schools,_T,318
2015,NUMBER,art_schools,_T,357
2016,NUMBER,art_schools,_T,288
2017,NUMBER,art_schools,_T,214
2018,NUMBER,art_schools,_T,302
2019,NUMBER,art_schools,_T,281
2020,NUMBER,art_schools,_T,241
2011,NUMBER,religion_schools,_T,447
2012,NUMBER,religion_schools,_T,356
2013,NUMBER,religion_schools,_T,460
2014,NUMBER,religion_schools,_T,517
2015,NUMBER,religion_schools,_T,602
2016,NUMBER,religion_schools,_T,503
2017,NUMBER,religion_schools,_T,476
2018,NUMBER,religion_schools,_T,530
2019,NUMBER,religion_schools,_T,553
2020,NUMBER,religion_schools,_T,518
2011,NUMBER,vocational_schools,_T,8154
2012,NUMBER,vocational_schools,_T,9386
2013,NUMBER,vocational_schools,_T,10331
2014,NUMBER,vocational_schools,_T,10806
2015,NUMBER,vocational_schools,_T,8890
2016,NUMBER,vocational_schools,_T,7161
2017,NUMBER,vocational_schools,_T,7260
2018,NUMBER,vocational_schools,_T,7224
2019,NUMBER,vocational_schools,_T,7018
2020,NUMBER,vocational_schools,_T,7149
2011,NUMBER,high_schools_for_children_with_special_needs,_T,99
2012,NUMBER,high_schools_for_children_with_special_needs,_T,102
2013,NUMBER,high_schools_for_children_with_special_needs,_T,112
2014,NUMBER,high_schools_for_children_with_special_needs,_T,196
2015,NUMBER,high_schools_for_children_with_special_needs,_T,123
2016,NUMBER,high_schools_for_children_with_special_needs,_T,118
2017,NUMBER,high_schools_for_children_with_special_needs,_T,103
2018,NUMBER,high_schools_for_children_with_special_needs,_T,120
2019,NUMBER,high_schools_for_children_with_special_needs,_T,134
2020,NUMBER,high_schools_for_children_with_special_needs,_T,106
2011,NUMBER,_T,M,18022
2012,NUMBER,_T,M,18153
2013,NUMBER,_T,M,20895
2014,NUMBER,_T,M,22589
2015,NUMBER,_T,M,22230
2016,NUMBER,_T,M,18464
2017,NUMBER,_T,M,16307
2018,NUMBER,_T,M,16580
2019,NUMBER,_T,M,16519
2020,NUMBER,_T,M,15982
2011,NUMBER,gymnasium,M,3246
2012,NUMBER,gymnasium,M,3021
2013,NUMBER,gymnasium,M,3642
2014,NUMBER,gymnasium,M,3946
2015,NUMBER,gymnasium,M,4428
2016,NUMBER,gymnasium,M,3412
2017,NUMBER,gymnasium,M,2895
2018,NUMBER,gymnasium,M,2869
2019,NUMBER,gymnasium,M,2819
2020,NUMBER,gymnasium,M,2538
2011,NUMBER,technical_schools,M,8794
2012,NUMBER,technical_schools,M,8333
2013,NUMBER,technical_schools,M,9735
2014,NUMBER,technical_schools,M,10569
2015,NUMBER,technical_schools,M,10911
2016,NUMBER,technical_schools,M,9580
2017,NUMBER,technical_schools,M,7882
2018,NUMBER,technical_schools,M,8200
2019,NUMBER,technical_schools,M,8309
2020,NUMBER,technical_schools,M,7844
2011,NUMBER,art_schools,M,113
2012,NUMBER,art_schools,M,120
2013,NUMBER,art_schools,M,137
2014,NUMBER,art_schools,M,133
2015,NUMBER,art_schools,M,161
2016,NUMBER,art_schools,M,111
2017,NUMBER,art_schools,M,80
2018,NUMBER,art_schools,M,108
2019,NUMBER,art_schools,M,111
2020,NUMBER,art_schools,M,80
2011,NUMBER,religion_schools,M,228
2012,NUMBER,religion_schools,M,176
2013,NUMBER,religion_schools,M,209
2014,NUMBER,religion_schools,M,260
2015,NUMBER,religion_schools,M,296
2016,NUMBER,religion_schools,M,242
2017,NUMBER,religion_schools,M,241
2018,NUMBER,religion_schools,M,253
2019,NUMBER,religion_schools,M,251
2020,NUMBER,religion_schools,M,259
2011,NUMBER,vocational_schools,M,5576
2012,NUMBER,vocational_schools,M,6443
2013,NUMBER,vocational_schools,M,7094
2014,NUMBER,vocational_schools,M,7549
2015,NUMBER,vocational_schools,M,6355
2016,NUMBER,vocational_schools,M,5047
2017,NUMBER,vocational_schools,M,5142
2018,NUMBER,vocational_schools,M,5068
2019,NUMBER,vocational_schools,M,4947
