Year,UNIT_MEASURE,type_of_education,SEX,Value
2014,NUMBER,total,_T,717
2014,NUMBER,education,_T,55
2014,NUMBER,arts_and_humanities,_T,100
2014,NUMBER,social_sciences_journalism_and_information,_T,79
2014,NUMBER,business_administration_and_the_law_of_everything,_T,203
2014,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,64
2014,NUMBER,information_and_communication_technologies,_T,30
2014,NUMBER,engineering_manufacturing_and_construction,_T,31
2014,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,23
2014,NUMBER,health_and_social_protection,_T,85
2014,NUMBER,services,_T,39
2014,NUMBER,unknown,_T,8
2014,NUMBER,total,M,396
2014,NUMBER,education,M,23
2014,NUMBER,arts_and_humanities,M,52
2014,NUMBER,social_sciences_journalism_and_information,M,51
2014,NUMBER,business_administration_and_the_law_of_everything,M,133
2014,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,30
2014,NUMBER,information_and_communication_technologies,M,24
2014,NUMBER,engineering_manufacturing_and_construction,M,23
2014,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,M,13
2014,NUMBER,health_and_social_protection,M,24
2014,NUMBER,services,M,23
2014,NUMBER,unknown,M,0
2014,NUMBER,total,F,321
2014,NUMBER,education,F,32
2014,NUMBER,arts_and_humanities,F,48
2014,NUMBER,social_sciences_journalism_and_information,F,28
2014,NUMBER,business_administration_and_the_law_of_everything,F,70
2014,NUMBER,natural_sciences_mathematics_and_statistics_of_all,F,34
2014,NUMBER,information_and_communication_technologies,F,6
2014,NUMBER,engineering_manufacturing_and_construction,F,8
2014,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,F,10
2014,NUMBER,health_and_social_protection,F,61
2014,NUMBER,services,F,16
2014,NUMBER,unknown,F,8
2015,NUMBER,total,_T,846
2015,NUMBER,education,_T,99
2015,NUMBER,arts_and_humanities,_T,101
2015,NUMBER,social_sciences_journalism_and_information,_T,109
2015,NUMBER,business_administration_and_the_law_of_everything,_T,167
2015,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,98
2015,NUMBER,information_and_communication_technologies,_T,52
2015,NUMBER,engineering_manufacturing_and_construction,_T,118
2015,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,28
2015,NUMBER,health_and_social_protection,_T,29
2015,NUMBER,services,_T,45
2015,NUMBER,unknown,_T,61
2015,NUMBER,total,M,491
2015,NUMBER,education,M,51
2015,NUMBER,arts_and_humanities,M,50
2015,NUMBER,social_sciences_journalism_and_information,M,65
2015,NUMBER,business_administration_and_the_law_of_everything,M,110
2015,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,33
2015,NUMBER,information_and_communication_technologies,M,36
2015,NUMBER,engineering_manufacturing_and_construction,M,95
2015,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,M,16
2015,NUMBER,health_and_social_protection,M,9
2015,NUMBER,services,M,26
2015,NUMBER,unknown,M,23
2015,NUMBER,total,F,355
2015,NUMBER,education,F,48
2015,NUMBER,arts_and_humanities,F,51
2015,NUMBER,social_sciences_journalism_and_information,F,44
2015,NUMBER,business_administration_and_the_law_of_everything,F,57
2015,NUMBER,natural_sciences_mathematics_and_statistics_of_all,F,65
2015,NUMBER,information_and_communication_technologies,F,16
2015,NUMBER,engineering_manufacturing_and_construction,F,23
2015,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,F,12
2015,NUMBER,health_and_social_protection,F,20
2015,NUMBER,services,F,19
2015,NUMBER,unknown,F,0
2016,NUMBER,total,_T,913
2016,NUMBER,education,_T,71
2016,NUMBER,arts_and_humanities,_T,105
2016,NUMBER,social_sciences_journalism_and_information,_T,98
2016,NUMBER,business_administration_and_the_law_of_everything,_T,224
2016,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,78
2016,NUMBER,information_and_communication_technologies,_T,18
2016,NUMBER,engineering_manufacturing_and_construction,_T,123
2016,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,28
2016,NUMBER,health_and_social_protection,_T,121
2016,NUMBER,services,_T,47
2016,NUMBER,unknown,_T,0
2016,NUMBER,total,M,486
2016,NUMBER,education,M,38
2016,NUMBER,arts_and_humanities,M,35
2016,NUMBER,social_sciences_journalism_and_information,M,53
2016,NUMBER,business_administration_and_the_law_of_everything,M,143
2016,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,31
2016,NUMBER,information_and_communication_technologies,M,9
2016,NUMBER,engineering_manufacturing_and_construction,M,81
2016,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,M,12
2016,NUMBER,health_and_social_protection,M,44
2016,NUMBER,services,M,40
2016,NUMBER,unknown,M,0
2016,NUMBER,total,F,427
2016,NUMBER,education,F,33
2016,NUMBER,arts_and_humanities,F,70
2016,NUMBER,social_sciences_journalism_and_information,F,45
2016,NUMBER,business_administration_and_the_law_of_everything,F,81
2016,NUMBER,natural_sciences_mathematics_and_statistics_of_all,F,47
2016,NUMBER,information_and_communication_technologies,F,9
2016,NUMBER,engineering_manufacturing_and_construction,F,42
2016,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,F,16
2016,NUMBER,health_and_social_protection,F,77
2016,NUMBER,services,F,7
2016,NUMBER,unknown,F,0
2017,NUMBER,total,_T,856
2017,NUMBER,education,_T,43
2017,NUMBER,arts_and_humanities,_T,171
2017,NUMBER,social_sciences_journalism_and_information,_T,66
2017,NUMBER,business_administration_and_the_law_of_everything,_T,191
2017,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,79
2017,NUMBER,information_and_communication_technologies,_T,44
2017,NUMBER,engineering_manufacturing_and_construction,_T,110
2017,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,30
2017,NUMBER,health_and_social_protection,_T,72
2017,NUMBER,services,_T,50
2017,NUMBER,unknown,_T,0
2017,NUMBER,total,M,482
2017,NUMBER,education,M,34
2017,NUMBER,arts_and_humanities,M,81
2017,NUMBER,social_sciences_journalism_and_information,M,38
2017,NUMBER,business_administration_and_the_law_of_everything,M,117
2017,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,31
2017,NUMBER,information_and_communication_technologies,M,33
2017,NUMBER,engineering_manufacturing_and_construction,M,74
2017,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,M,8
2017,NUMBER,health_and_social_protection,M,26
2017,NUMBER,services,M,40
2017,NUMBER,unknown,M,0
2017,NUMBER,total,F,374
2017,NUMBER,education,F,9
2017,NUMBER,arts_and_humanities,F,90
2017,NUMBER,social_sciences_journalism_and_information,F,28
2017,NUMBER,business_administration_and_the_law_of_everything,F,74
2017,NUMBER,natural_sciences_mathematics_and_statistics_of_all,F,48
2017,NUMBER,information_and_communication_technologies,F,11
2017,NUMBER,engineering_manufacturing_and_construction,F,36
2017,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,F,22
2017,NUMBER,health_and_social_protection,F,46
2017,NUMBER,services,F,10
2017,NUMBER,unknown,F,0
2018,NUMBER,total,_T,981
2018,NUMBER,education,_T,36
2018,NUMBER,arts_and_humanities,_T,108
2018,NUMBER,social_sciences_journalism_and_information,_T,90
2018,NUMBER,business_administration_and_the_law_of_everything,_T,190
2018,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,88
2018,NUMBER,information_and_communication_technologies,_T,51
2018,NUMBER,engineering_manufacturing_and_construction,_T,103
2018,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,20
2018,NUMBER,health_and_social_protection,_T,222
2018,NUMBER,services,_T,73
2018,NUMBER,unknown,_T,0
2018,NUMBER,total,M,508
2018,NUMBER,education,M,24
2018,NUMBER,arts_and_humanities,M,36
2018,NUMBER,social_sciences_journalism_and_information,M,55
2018,NUMBER,business_administration_and_the_law_of_everything,M,111
2018,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,32
2018,NUMBER,information_and_communication_technologies,M,42
2018,NUMBER,engineering_manufacturing_and_construction,M,70
2018,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,M,11
2018,NUMBER,health_and_social_protection,M,80
2018,NUMBER,services,M,47
2018,NUMBER,unknown,M,0
2018,NUMBER,total,F,473
2018,NUMBER,education,F,12
2018,NUMBER,arts_and_humanities,F,72
2018,NUMBER,social_sciences_journalism_and_information,F,35
2018,NUMBER,business_administration_and_the_law_of_everything,F,79
2018,NUMBER,natural_sciences_mathematics_and_statistics_of_all,F,56
2018,NUMBER,information_and_communication_technologies,F,9
2018,NUMBER,engineering_manufacturing_and_construction,F,33
2018,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,F,9
2018,NUMBER,health_and_social_protection,F,142
2018,NUMBER,services,F,26
2018,NUMBER,unknown,F,0
2019,NUMBER,total,_T,1022
2019,NUMBER,education,_T,40
2019,NUMBER,arts_and_humanities,_T,119
2019,NUMBER,social_sciences_journalism_and_information,_T,173
2019,NUMBER,business_administration_and_the_law_of_everything,_T,183
2019,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,85
2019,NUMBER,information_and_communication_technologies,_T,12
2019,NUMBER,engineering_manufacturing_and_construction,_T,88
2019,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,97
2019,NUMBER,health_and_social_protection,_T,173
2019,NUMBER,services,_T,52
2019,NUMBER,unknown,_T,0
2019,NUMBER,total,M,492
2019,NUMBER,education,M,20
2019,NUMBER,arts_and_humanities,M,48
2019,NUMBER,social_sciences_journalism_and_information,M,91
2019,NUMBER,business_administration_and_the_law_of_everything,M,97
2019,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,36
2019,NUMBER,information_and_communication_technologies,M,7
2019,NUMBER,engineering_manufacturing_and_construction,M,54
2019,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,M,17
