Year,UNIT_MEASURE,type_of_institution,Value
2011,NUMBER,_T,
2012,NUMBER,_T,
2013,NUMBER,_T,
2014,NUMBER,_T,
2015,NUMBER,_T,
2016,NUMBER,_T,
2017,NUMBER,_T,
2018,NUMBER,_T,
2019,NUMBER,_T,
2020,NUMBER,_T,
2011,NUMBER,public,
2012,NUMBER,public,
2013,NUMBER,public,
2014,NUMBER,public,
2015,NUMBER,public,
2016,NUMBER,public,
2017,NUMBER,public,
2018,NUMBER,public,
2019,NUMBER,public,
2020,NUMBER,public,
2011,NUMBER,private,
2012,NUMBER,private,
2013,NUMBER,private,
2014,NUMBER,private,
2015,NUMBER,private,
2016,NUMBER,private,
2017,NUMBER,private,
2018,NUMBER,private,
2019,NUMBER,private,
2020,NUMBER,private,
