Year,UNIT_MEASURE,Value
1971,number_per_1000,9.4
1981,number_per_1000,8.9
1991,number_per_1000,6.5
1996,number_per_1000,5.8
1997,number_per_1000,6.2
1998,number_per_1000,6.1
1999,number_per_1000,6.0
2000,number_per_1000,5.8
2001,number_per_1000,5.3
2002,number_per_1000,5.3
2003,number_per_1000,5.4
2004,number_per_1000,5.8
2005,number_per_1000,5.6
2006,number_per_1000,5.6
2007,number_per_1000,6.12
2008,number_per_1000,5.77
2009,number_per_1000,5.37
2010,number_per_1000,5.08
2011,number_per_1000,4.99
2012,number_per_1000,4.75
2013,number_per_1000,5.0
2014,number_per_1000,5.3
2015,number_per_1000,5.6
2016,number_per_1000,5.5
2017,number_per_1000,5.7
2018,number_per_1000,5.7
2019,number_per_1000,5.4
