Year,UNIT_MEASURE,TYPE_OF_DEPENDENCY_RATIO,SEX,Value
2018,%,total_support_ratio,_T,44.32
2020,%,total_support_ratio,_T,47.11
2025,%,total_support_ratio,_T,53.97
2030,%,total_support_ratio,_T,62.1
2035,%,total_support_ratio,_T,68.98
2040,%,total_support_ratio,_T,76.0
2045,%,total_support_ratio,_T,84.34
2050,%,total_support_ratio,_T,94.16
2055,%,total_support_ratio,_T,103.66
2060,%,total_support_ratio,_T,110.44
2065,%,total_support_ratio,_T,115.81
2070,%,total_support_ratio,_T,116.18
2018,%,young_age_support_ratio,_T,20.55
2020,%,young_age_support_ratio,_T,20.65
2025,%,young_age_support_ratio,_T,20.34
2030,%,young_age_support_ratio,_T,20.29
2035,%,young_age_support_ratio,_T,19.98
2040,%,young_age_support_ratio,_T,19.66
2045,%,young_age_support_ratio,_T,19.82
2050,%,young_age_support_ratio,_T,20.49
2055,%,young_age_support_ratio,_T,21.3
2060,%,young_age_support_ratio,_T,21.85
2065,%,young_age_support_ratio,_T,22.23
2070,%,young_age_support_ratio,_T,22.13
2018,%,old_age_support_ratio,_T,23.78
2020,%,old_age_support_ratio,_T,26.46
2025,%,old_age_support_ratio,_T,33.64
2030,%,old_age_support_ratio,_T,41.81
2035,%,old_age_support_ratio,_T,49.0
2040,%,old_age_support_ratio,_T,56.34
2045,%,old_age_support_ratio,_T,64.52
2050,%,old_age_support_ratio,_T,73.67
2055,%,old_age_support_ratio,_T,82.36
2060,%,old_age_support_ratio,_T,88.59
2065,%,old_age_support_ratio,_T,93.58
2070,%,old_age_support_ratio,_T,94.04
2018,%,total_support_ratio,M,44.32
2020,%,total_support_ratio,M,47.11
2025,%,total_support_ratio,M,53.97
2030,%,total_support_ratio,M,62.1
2035,%,total_support_ratio,M,68.98
2040,%,total_support_ratio,M,76.0
2045,%,total_support_ratio,M,84.34
2050,%,total_support_ratio,M,94.16
2055,%,total_support_ratio,M,103.66
2060,%,total_support_ratio,M,110.44
2065,%,total_support_ratio,M,115.81
2070,%,total_support_ratio,M,116.18
2018,%,young_age_support_ratio,M,20.55
2020,%,young_age_support_ratio,M,20.65
2025,%,young_age_support_ratio,M,20.34
2030,%,young_age_support_ratio,M,20.29
2035,%,young_age_support_ratio,M,19.98
2040,%,young_age_support_ratio,M,19.66
2045,%,young_age_support_ratio,M,19.82
2050,%,young_age_support_ratio,M,20.49
2055,%,young_age_support_ratio,M,21.3
2060,%,young_age_support_ratio,M,21.85
2065,%,young_age_support_ratio,M,22.23
2070,%,young_age_support_ratio,M,22.13
2018,%,old_age_support_ratio,M,23.78
2020,%,old_age_support_ratio,M,26.46
2025,%,old_age_support_ratio,M,33.64
2030,%,old_age_support_ratio,M,41.81
2035,%,old_age_support_ratio,M,49.0
2040,%,old_age_support_ratio,M,56.34
2045,%,old_age_support_ratio,M,64.52
2050,%,old_age_support_ratio,M,73.67
2055,%,old_age_support_ratio,M,82.36
2060,%,old_age_support_ratio,M,88.59
2065,%,old_age_support_ratio,M,93.58
2070,%,old_age_support_ratio,M,94.04
2018,%,total_support_ratio,F,44.32
2020,%,total_support_ratio,F,47.11
2025,%,total_support_ratio,F,53.97
2030,%,total_support_ratio,F,62.1
2035,%,total_support_ratio,F,68.98
2040,%,total_support_ratio,F,76.0
2045,%,total_support_ratio,F,84.34
2050,%,total_support_ratio,F,94.16
2055,%,total_support_ratio,F,103.66
2060,%,total_support_ratio,F,110.44
2065,%,total_support_ratio,F,115.81
2070,%,total_support_ratio,F,116.18
2018,%,young_age_support_ratio,F,20.55
2020,%,young_age_support_ratio,F,20.65
2025,%,young_age_support_ratio,F,20.34
2030,%,young_age_support_ratio,F,20.29
2035,%,young_age_support_ratio,F,19.98
2040,%,young_age_support_ratio,F,19.66
2045,%,young_age_support_ratio,F,19.82
2050,%,young_age_support_ratio,F,20.49
2055,%,young_age_support_ratio,F,21.3
2060,%,young_age_support_ratio,F,21.85
2065,%,young_age_support_ratio,F,22.23
2070,%,young_age_support_ratio,F,22.13
2018,%,old_age_support_ratio,F,23.78
2020,%,old_age_support_ratio,F,26.46
2025,%,old_age_support_ratio,F,33.64
2030,%,old_age_support_ratio,F,41.81
2035,%,old_age_support_ratio,F,49.0
2040,%,old_age_support_ratio,F,56.34
2045,%,old_age_support_ratio,F,64.52
2050,%,old_age_support_ratio,F,73.67
2055,%,old_age_support_ratio,F,82.36
2060,%,old_age_support_ratio,F,88.59
2065,%,old_age_support_ratio,F,93.58
2070,%,old_age_support_ratio,F,94.04
