Year,Type_of_disability,SEX,AGE,UNIT_MEASURE,Value
2013,Seeing,_T,0-14,NUMBER,1084
2013,Hearing,_T,0-14,NUMBER,262
2013,walking_or_climbing_up_the_stairs,_T,0-14,NUMBER,671
2013,remembering_or_concentration,_T,0-14,NUMBER,200
2013,self_care,_T,0-14,NUMBER,164
2013,Communication,_T,0-14,NUMBER,318
2013,multiple_disabilities,_T,0-14,NUMBER,1826
2013,Seeing,_T,15-19,NUMBER,862
2013,Hearing,_T,15-19,NUMBER,191
2013,walking_or_climbing_up_the_stairs,_T,15-19,NUMBER,478
2013,remembering_or_concentration,_T,15-19,NUMBER,129
2013,self_care,_T,15-19,NUMBER,32
2013,Communication,_T,15-19,NUMBER,112
2013,multiple_disabilities,_T,15-19,NUMBER,1082
2013,Seeing,_T,20-29,NUMBER,1819
2013,Hearing,_T,20-29,NUMBER,370
2013,walking_or_climbing_up_the_stairs,_T,20-29,NUMBER,1350
2013,remembering_or_concentration,_T,20-29,NUMBER,380
2013,self_care,_T,20-29,NUMBER,72
2013,Communication,_T,20-29,NUMBER,208
2013,multiple_disabilities,_T,20-29,NUMBER,2199
2013,Seeing,_T,30-49,NUMBER,7841
2013,Hearing,_T,30-49,NUMBER,2460
2013,walking_or_climbing_up_the_stairs,_T,30-49,NUMBER,15862
2013,remembering_or_concentration,_T,30-49,NUMBER,2337
2013,self_care,_T,30-49,NUMBER,319
2013,Communication,_T,30-49,NUMBER,683
2013,multiple_disabilities,_T,30-49,NUMBER,10694
2013,Seeing,_T,50-59,NUMBER,12870
2013,Hearing,_T,50-59,NUMBER,3498
2013,walking_or_climbing_up_the_stairs,_T,50-59,NUMBER,21484
2013,remembering_or_concentration,_T,50-59,NUMBER,2035
2013,self_care,_T,50-59,NUMBER,259
2013,Communication,_T,50-59,NUMBER,488
2013,multiple_disabilities,_T,50-59,NUMBER,16861
2013,Seeing,_T,60-64,NUMBER,7189
2013,Hearing,_T,60-64,NUMBER,2289
2013,walking_or_climbing_up_the_stairs,_T,60-64,NUMBER,12727
2013,remembering_or_concentration,_T,60-64,NUMBER,870
2013,self_care,_T,60-64,NUMBER,100
2013,Communication,_T,60-64,NUMBER,259
2013,multiple_disabilities,_T,60-64,NUMBER,11125
2013,Seeing,_T,60-64,NUMBER,20636
2013,Hearing,_T,60-64,NUMBER,12505
2013,walking_or_climbing_up_the_stairs,_T,60-64,NUMBER,44406
2013,remembering_or_concentration,_T,60-64,NUMBER,2836
2013,self_care,_T,60-64,NUMBER,587
2013,Communication,_T,60-64,NUMBER,586
2013,multiple_disabilities,_T,60-64,NUMBER,66443
2013,Seeing,_T,65+,NUMBER,20636
2013,Hearing,_T,65+,NUMBER,12505
2013,walking_or_climbing_up_the_stairs,_T,65+,NUMBER,44406
2013,remembering_or_concentration,_T,65+,NUMBER,2836
2013,self_care,_T,65+,NUMBER,587
2013,Communication,_T,65+,NUMBER,586
2013,multiple_disabilities,_T,65+,NUMBER,66443
2013,Seeing,M,0-14,NUMBER,571
2013,Hearing,M,0-14,NUMBER,146
2013,walking_or_climbing_up_the_stairs,M,0-14,NUMBER,370
2013,remembering_or_concentration,M,0-14,NUMBER,123
2013,self_care,M,0-14,NUMBER,104
2013,Communication,M,0-14,NUMBER,215
2013,multiple_disabilities,M,0-14,NUMBER,1077
2013,Seeing,M,15-19,NUMBER,430
2013,Hearing,M,15-19,NUMBER,101
2013,walking_or_climbing_up_the_stairs,M,15-19,NUMBER,268
2013,remembering_or_concentration,M,15-19,NUMBER,95
2013,self_care,M,15-19,NUMBER,19
2013,Communication,M,15-19,NUMBER,75
2013,multiple_disabilities,M,15-19,NUMBER,653
2013,Seeing,M,20-29,NUMBER,976
2013,Hearing,M,20-29,NUMBER,223
2013,walking_or_climbing_up_the_stairs,M,20-29,NUMBER,883
2013,remembering_or_concentration,M,20-29,NUMBER,256
2013,self_care,M,20-29,NUMBER,44
2013,Communication,M,20-29,NUMBER,133
2013,multiple_disabilities,M,20-29,NUMBER,1306
2013,Seeing,M,30-49,NUMBER,4313
2013,Hearing,M,30-49,NUMBER,1722
2013,walking_or_climbing_up_the_stairs,M,30-49,NUMBER,10912
2013,remembering_or_concentration,M,30-49,NUMBER,1488
2013,self_care,M,30-49,NUMBER,216
2013,Communication,M,30-49,NUMBER,442
2013,multiple_disabilities,M,30-49,NUMBER,6669
2013,Seeing,M,50-59,NUMBER,6088
2013,Hearing,M,50-59,NUMBER,2282
2013,walking_or_climbing_up_the_stairs,M,50-59,NUMBER,11557
2013,remembering_or_concentration,M,50-59,NUMBER,1170
2013,self_care,M,50-59,NUMBER,179
2013,Communication,M,50-59,NUMBER,338
2013,multiple_disabilities,M,50-59,NUMBER,9039
2013,Seeing,M,60-64,NUMBER,3155
2013,Hearing,M,60-64,NUMBER,1432
2013,walking_or_climbing_up_the_stairs,M,60-64,NUMBER,5672
2013,remembering_or_concentration,M,60-64,NUMBER,440
2013,self_care,M,60-64,NUMBER,57
2013,Communication,M,60-64,NUMBER,198
2013,multiple_disabilities,M,60-64,NUMBER,5203
2013,Seeing,M,65+,NUMBER,8036
2013,Hearing,M,65+,NUMBER,6620
2013,walking_or_climbing_up_the_stairs,M,65+,NUMBER,13529
2013,remembering_or_concentration,M,65+,NUMBER,1092
2013,self_care,M,65+,NUMBER,266
2013,Communication,M,65+,NUMBER,360
2013,multiple_disabilities,M,65+,NUMBER,22432
2013,Seeing,F,0-14,NUMBER,513
2013,Hearing,F,0-14,NUMBER,116
2013,walking_or_climbing_up_the_stairs,F,0-14,NUMBER,301
2013,remembering_or_concentration,F,0-14,NUMBER,77
2013,self_care,F,0-14,NUMBER,60
2013,Communication,F,0-14,NUMBER,103
