Year,UNIT_MEASURE,type_of_education,SEX,Value
2014,NUMBER,total,_T,16131
2014,NUMBER,education,_T,2003
2014,NUMBER,arts_and_humanities,_T,1296
2014,NUMBER,social_sciences_journalism_and_information,_T,2216
2014,NUMBER,business_administration_and_the_law_of_everything,_T,4865
2014,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,629
2014,NUMBER,information_and_communication_technologies,_T,503
2014,NUMBER,engineering_manufacturing_and_construction,_T,1554
2014,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,572
2014,NUMBER,health_and_social_protection,_T,1712
2014,NUMBER,services,_T,708
2014,NUMBER,unknown,_T,73
2014,NUMBER,total,M,6554
2014,NUMBER,education,M,589
2014,NUMBER,arts_and_humanities,M,417
2014,NUMBER,social_sciences_journalism_and_information,M,849
2014,NUMBER,business_administration_and_the_law_of_everything,M,1970
2014,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,194
2014,NUMBER,information_and_communication_technologies,M,385
2014,NUMBER,engineering_manufacturing_and_construction,M,976
2014,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,M,254
2014,NUMBER,health_and_social_protection,M,403
2014,NUMBER,services,M,489
2014,NUMBER,unknown,M,28
2014,NUMBER,total,F,9577
2014,NUMBER,education,F,1414
2014,NUMBER,arts_and_humanities,F,879
2014,NUMBER,social_sciences_journalism_and_information,F,1367
2014,NUMBER,business_administration_and_the_law_of_everything,F,2895
2014,NUMBER,natural_sciences_mathematics_and_statistics_of_all,F,435
2014,NUMBER,information_and_communication_technologies,F,118
2014,NUMBER,engineering_manufacturing_and_construction,F,578
2014,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,F,318
2014,NUMBER,health_and_social_protection,F,1309
2014,NUMBER,services,F,219
2014,NUMBER,unknown,F,45
2015,NUMBER,total,_T,15149
2015,NUMBER,education,_T,1808
2015,NUMBER,arts_and_humanities,_T,1233
2015,NUMBER,social_sciences_journalism_and_information,_T,1421
2015,NUMBER,business_administration_and_the_law_of_everything,_T,4818
2015,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,701
2015,NUMBER,information_and_communication_technologies,_T,726
2015,NUMBER,engineering_manufacturing_and_construction,_T,1558
2015,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,640
2015,NUMBER,health_and_social_protection,_T,1373
2015,NUMBER,services,_T,804
2015,NUMBER,unknown,_T,67
2015,NUMBER,total,M,6382
2015,NUMBER,education,M,512
2015,NUMBER,arts_and_humanities,M,394
2015,NUMBER,social_sciences_journalism_and_information,M,564
2015,NUMBER,business_administration_and_the_law_of_everything,M,1987
2015,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,211
2015,NUMBER,information_and_communication_technologies,M,545
2015,NUMBER,engineering_manufacturing_and_construction,M,954
2015,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,M,314
2015,NUMBER,health_and_social_protection,M,307
2015,NUMBER,services,M,557
2015,NUMBER,unknown,M,37
2015,NUMBER,total,F,8767
2015,NUMBER,education,F,1296
2015,NUMBER,arts_and_humanities,F,839
2015,NUMBER,social_sciences_journalism_and_information,F,857
2015,NUMBER,business_administration_and_the_law_of_everything,F,2831
2015,NUMBER,natural_sciences_mathematics_and_statistics_of_all,F,490
2015,NUMBER,information_and_communication_technologies,F,181
2015,NUMBER,engineering_manufacturing_and_construction,F,604
2015,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,F,326
2015,NUMBER,health_and_social_protection,F,1066
2015,NUMBER,services,F,247
2015,NUMBER,unknown,F,30
2016,NUMBER,total,_T,14407
2016,NUMBER,education,_T,1674
2016,NUMBER,arts_and_humanities,_T,1168
2016,NUMBER,social_sciences_journalism_and_information,_T,1890
2016,NUMBER,business_administration_and_the_law_of_everything,_T,3866
2016,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,631
2016,NUMBER,information_and_communication_technologies,_T,573
2016,NUMBER,engineering_manufacturing_and_construction,_T,1787
2016,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,589
2016,NUMBER,health_and_social_protection,_T,1295
2016,NUMBER,services,_T,846
2016,NUMBER,unknown,_T,88
2016,NUMBER,total,M,6062
2016,NUMBER,education,M,499
2016,NUMBER,arts_and_humanities,M,344
2016,NUMBER,social_sciences_journalism_and_information,M,745
2016,NUMBER,business_administration_and_the_law_of_everything,M,1643
2016,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,191
2016,NUMBER,information_and_communication_technologies,M,435
2016,NUMBER,engineering_manufacturing_and_construction,M,1122
2016,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,M,276
2016,NUMBER,health_and_social_protection,M,266
2016,NUMBER,services,M,511
2016,NUMBER,unknown,M,30
2016,NUMBER,total,F,8345
2016,NUMBER,education,F,1175
2016,NUMBER,arts_and_humanities,F,824
2016,NUMBER,social_sciences_journalism_and_information,F,1145
2016,NUMBER,business_administration_and_the_law_of_everything,F,2223
2016,NUMBER,natural_sciences_mathematics_and_statistics_of_all,F,440
2016,NUMBER,information_and_communication_technologies,F,138
