Year,UNIT_MEASURE,SEX,Value
2014,NUMBER,_T,717
2015,NUMBER,_T,846
2016,NUMBER,_T,913
2017,NUMBER,_T,856
2018,NUMBER,_T,981
2019,NUMBER,_T,1022
2020,NUMBER,_T,1208
2021,NUMBER,_T,1297
2022,NUMBER,_T,1263
2023,NUMBER,_T,1313
2014,NUMBER,M,396
2015,NUMBER,M,491
2016,NUMBER,M,486
2017,NUMBER,M,482
2018,NUMBER,M,508
2019,NUMBER,M,492
2020,NUMBER,M,606
2021,NUMBER,M,614
2022,NUMBER,M,589
2023,NUMBER,M,605
2014,NUMBER,F,321
2015,NUMBER,F,355
2016,NUMBER,F,427
2017,NUMBER,F,374
2018,NUMBER,F,473
2019,NUMBER,F,530
2020,NUMBER,F,602
2021,NUMBER,F,683
2022,NUMBER,F,674
2023,NUMBER,F,708
