Year,Quarter,UNIT_MEASURE,SEX,AGE,Value
2021,Q1,%,_T,15 - 74,19
2021,Q1,%,_T,15 - 24,40
2021,Q1,%,_T,25 - 49,17
2021,Q1,%,_T,50 - 64,15
2021,Q1,%,_T,65+,21
2021,Q1,%,_T,15 - 64,19
2021,Q1,%,_T,20 - 64,19
2021,Q1,%,_T,25 - 34,22
2021,Q1,%,_T,15 - 74,19
2021,Q1,%,_T,65 - 74,21
2021,Q1,%,M,15 - 74,16
2021,Q1,%,M,15 - 24,36
2021,Q1,%,M,25 - 49,13
2021,Q1,%,M,50 - 64,13
2021,Q1,%,M,65+,18
2021,Q1,%,M,15 - 64,16
2021,Q1,%,M,20 - 64,15
2021,Q1,%,M,25 - 34,17
2021,Q1,%,M,15 - 74,16
2021,Q1,%,M,65 - 74,18
2021,Q1,%,F,15 - 74,25
2021,Q1,%,F,15 - 24,48
2021,Q1,%,F,25 - 49,23
2021,Q1,%,F,50 - 64,19
2021,Q1,%,F,65+,25
2021,Q1,%,F,15 - 64,25
2021,Q1,%,F,20 - 64,24
2021,Q1,%,F,25 - 34,29
2021,Q1,%,F,15 - 74,25
2021,Q1,%,F,65 - 74,25
2021,Q2,%,_T,15 - 74,18
2021,Q2,%,_T,15 - 24,40
2021,Q2,%,_T,25 - 49,17
2021,Q2,%,_T,50 - 64,13
2021,Q2,%,_T,15 - 64,18
2021,Q2,%,_T,20 - 64,18
2021,Q2,%,_T,25 - 34,22
2021,Q2,%,_T,15 - 74,18
2021,Q2,%,M,15 - 74,15
2021,Q2,%,M,15 - 24,36
2021,Q2,%,M,25 - 49,14
2021,Q2,%,M,50 - 64,12
2021,Q2,%,M,15 - 64,15
2021,Q2,%,M,20 - 64,15
2021,Q2,%,M,25 - 34,18
2021,Q2,%,M,15 - 74,15
2021,Q2,%,F,15 - 74,23
2021,Q2,%,F,15 - 24,47
2021,Q2,%,F,25 - 49,23
2021,Q2,%,F,50 - 64,13
2021,Q2,%,F,15 - 64,23
2021,Q2,%,F,20 - 64,23
2021,Q2,%,F,25 - 34,28
2021,Q2,%,F,15 - 74,23
2021,Q3,%,_T,15 - 74,16
2021,Q3,%,_T,15 - 24,38
2021,Q3,%,_T,25 - 49,16
2021,Q3,%,_T,50 - 64,11
2021,Q3,%,_T,15 - 64,17
2021,Q3,%,_T,20 - 64,16
2021,Q3,%,_T,25 - 34,19
2021,Q3,%,_T,15 - 74,16
2021,Q3,%,M,15 - 74,14
2021,Q3,%,M,15 - 24,33
