Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
banja_luka,Banja Luka,Banja Luka,Бања Лука,Banja Luka,57,1
banovici,Banovici,Banovići,Бановићи,Banovići,57,1
berkovici,Berkovici,Berkovići,Берковићи,Berkovići,57,1
bihac,Bihac,Bihać,Бихаћ,Bihać,57,1
bijeljina,Bijeljina,Bijeljina,Бијељина,Bijeljina,57,1
bileca,Bileca,Bileća,Билећа,Bileća,57,1
bosanska_krupa,Bosanska Krupa,Bosanska Krupa,Босанска Крупа,Bosanska Krupa,57,1
bosanski_petrovac,Bosanski Petrovac,Bosanski Petrovac,Босански Петровац,Bosanski Petrovac,57,1
bosansko_grahovo,Bosansko Grahovo,Bosansko Grahovo,Босанско Грахово,Bosansko Grahovo,57,1
bratunac,Bratunac,Bratunac,Братунац,Bratunac,57,1
brcko,Brcko,Brčko,Брчко,Brčko,57,1
breza,Breza,Breza,Бреза,Breza,57,1
brod,Brod,Brod,Брод,Brod,57,1
bugojno,Bugojno,Bugojno,Бугојно,Bugojno,57,1
busovaca,Busovaca,Busovača,Бусовача,Busovača,57,1
buzim,Buzim,Bužim,Бужим,Bužim,57,1
cajnice,Cajnice,Čajniče,Чајниче,Čajniče,57,1
capljina,Capljina,Čapljina,Чапљина,Čapljina,57,1
cazin,Cazin,Cazin,Цазин,Cazin,57,1
celic,Celic,Čelić,Челић,Čelić,57,1
celinac,Celinac,Čelinac,Челинац,Čelinac,57,1
citluk,Citluk,Čitluk,Читлук,Čitluk,57,1
derventa,Derventa,Derventa,Дервента,Derventa,57,1
doboj,Doboj,Doboj,Добој,Doboj,57,1
doboj_istok,Doboj-East,Doboj-Istok,Добој-Исток,Doboj-Istok,57,1
doboj_jug,Doboj-South,Doboj-Jug,Добој-Југ,Doboj-Jug,57,1
dobretici,Dobretici,Dobretići,Добретићи,Dobretići,57,1
domaljevac_samac,Domaljevac-Samac,Domaljevac-Šamac,Домаљевац-Шамац,Domaljevac-Šamac,57,1
donji_vakuf,Donji Vakuf,Donji Vakuf,Доњи Вакуф,Donji Vakuf,57,1
donji_zabar,Donji Zabar,Donji Žabar,Доњи Жабар,Donji Žabar,57,1
drvar,Drvar,Drvar,Дрвар,Drvar,57,1
foca_fbih,Foca-FBiH,Foča-FBiH,Фоча-ФБиХ,Foča-FBiH,57,1
foca_rs,Foca-RS,Foča-RS,Фоча-РС,Foča-RS,57,1
fojnica,Fojnica,Fojnica,Фојница,Fojnica,57,1
gacko,Gacko,Gacko,Гацко,Gacko,57,1
glamoc,Glamoc,Glamoč,Гламоч,Glamoč,57,1
gorazde,Gorazde,Goražde,Горажде,Goražde,57,1
gornji_vakuf_uskoplje,Gornji Vakuf-Uskoplje,Gornji Vakuf-Uskoplje,Горњи Вакуф-Ускопље,Gornji Vakuf-Uskoplje,57,1
gracanica,Gracanica,Gračanica,Грачаница,Gračanica,57,1
gradacac,Gradacac,Gradačac,Градачац,Gradačac,57,1
gradiska,Gradiska,Gradiška,Градишка,Gradiška,57,1
grude,Grude,Grude,Груде,Grude,57,1
han_pijesak,Han Pijesak,Han Pijesak,Хан Пијесак,Han Pijesak,57,1
istocna_ilidza,East Ilidza,Istočna Ilidža,Источна Илиџа,Istočna Ilidža,57,1
istocni_drvar,East Drvar,Istočni Drvar,Источни Дрвар,Istočni Drvar,54,1
istocni_mostar,East Mostar,Istočni Mostar,Источни Мостар,Istočni Mostar,57,1
istocni_stari_grad,East Stari Grad,Istočni Stari Grad,Источни Стари Град,Istočni Stari Grad,57,1
istocno_novo_sarajevo,East Novo Sarajevo,Istočno Novo Sarajevo,Источно Ново Сарајево,Istočno Novo Sarajevo,57,1
jablanica,Jablanica,Jablanica,Јабланица,Jablanica,57,1
jajce,Jajce,Jajce,Јајце,Jajce,57,1
jezero,Jezero,Jezero,Језеро,Jezero,57,1
kakanj,Kakanj,Kakanj,Какањ,Kakanj,57,1
kalesija,Kalesija,Kalesija,Калесија,Kalesija,57,1
kalinovik,Kalinovik,Kalinovik,Калиновик,Kalinovik,57,1
kiseljak,Kiseljak,Kiseljak,Кисељак,Kiseljak,57,1
kladanj,Kladanj,Kladanj,Кладањ,Kladanj,57,1
kljuc,Ključ,Ključ,Кључ,Ključ,57,1
knezevo,Knezevo,Kneževo,Кнежево,Kneževo,57,1
konjic,Konjic,Konjic,Коњиц,Konjic,57,1
kostajnica,Kostajnica,Kostajnica,Костајница,Kostajnica,57,1
kotor_varos,Kotor Varos,Kotor Varoš,Котор Варош,Kotor Varoš,57,1
kozarska_dubica,Kozarska Dubica,Kozarska Dubica,Козарска Дубица,Kozarska Dubica,57,1
kresevo,Kresevo,Kreševo,Крешево,Kreševo,57,1
krupa_na_uni,Krupa Na Uni,Krupa Na Uni,Крупа на Уни,Krupa Na Uni,57,1
kupres_fbih,Kupres-FBiH,Kupres-FBiH,Купрес-ФБиХ,Kupres-FBiH,57,1
kupres_rs,Kupres-RS,Kupres-RS,Купрес-РС,Kupres-RS,56,1
laktasi,Laktasi,Laktaši,Лакташи,Laktaši,57,1
livno,Livno,Livno,Ливно,Livno,57,1
ljubinje,Ljubinje,Ljubinje,Љубиње,Ljubinje,57,1
ljubuski,Ljubuski,Ljubuški,Љубушки,Ljubuški,57,1
lopare,Lopare,Lopare,Лопаре,Lopare,57,1
lukavac,Lukavac,Lukavac,Лукавац,Lukavac,57,1
maglaj,Maglaj,Maglaj,Маглај,Maglaj,57,1
milici,Milici,Milići,Милићи,Milići,57,1
modrica,Modrica,Modriča,Модрича,Modriča,57,1
mostar,Mostar,Mostar,Мостар,Mostar,57,1
mrkonjic_grad,Mrkonjic Grad,Mrkonjić Grad,Мркоњић Град,Mrkonjić Grad,57,1
neum,Neum,Neum,Неум,Neum,57,1
nevesinje,Nevesinje,Nevesinje,Невесиње,Nevesinje,57,1
novi_grad,Novi Grad,Novi Grad,Нови Град,Novi Grad,57,1
novi_travnik,Novi Travnik,Novi Travnik,Нови Травник,Novi Travnik,57,1
novo_gorazde,Novo Gorazde,Novo Goražde,Ново Горажде,Novo Goražde,57,1
odzak,Odzak,Odžak,Оџак,Odžak,57,1
olovo,Olovo,Olovo,Олово,Olovo,57,1
orasje,Orasje,Orašje,Орашје,Orašje,57,1
osmaci,Osmaci,Osmaci,Осмаци,Osmaci,57,1
ostra_luka,Ostra Luka,Oštra Luka,Оштра Лука,Oštra Luka,57,1
pale_fbih,Pale-FBiH,Pale-FBiH,Пале-ФБиХ,Pale-FBiH,57,1
pale_rs,Pale-RS,Pale-RS,Пале-РС,Pale-RS,57,1
pelagicevo,Pelagicevo,Pelagićevo,Пелагићево,Pelagićevo,57,1
petrovac,Petrovac,Petrovac,Петровац,Petrovac,57,1
petrovo,Petrovo,Petrovo,Петрово,Petrovo,57,1
posusje,Posusje,Posušje,Посушје,Posušje,57,1
prijedor,Prijedor,Prijedor,Приједор,Prijedor,57,1
