Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
11.3,11.3,11.3,11.3,11.3,1,1
11.4,11.4,11.4,11.4,11.4,1,1
1.2,1.2,1.2,1.2,1.2,1,1
12.2,12.2,12.2,12.2,12.2,1,1
12.7,12.7,12.7,12.7,12.7,1,1
1.3,1.3,1.3,1.3,1.3,1,1
13.6,13.6,13.6,13.6,13.6,1,1
13.7,13.7,13.7,13.7,13.7,1,1
15 - 24,15 - 24,15 - 24,15 - 24,15 - 24,1,1
1.5,1.5,1.5,1.5,1.5,1,1
1.6,1.6,1.6,1.6,1.6,1,1
1.7,1.7,1.7,1.7,1.7,1,1
2.5,2.5,2.5,2.5,2.5,1,1
84.5,84.5,84.5,84.5,84.5,1,1
84.7,84.7,84.7,84.7,84.7,1,1
85.4,85.4,85.4,85.4,85.4,1,1
85.9,85.9,85.9,85.9,85.9,1,1
87.4,87.4,87.4,87.4,87.4,2,1
_T,Both sexes,Oba spola,Оба пола,Oba spola,3689,59
F,F,Ž,Ж,Ž,3701,60
M,M,M,M,M,3701,60
