Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
agriculture_forestry_fisheries_and_veterinary_medicine,"Agriculture, forestry, fisheries and veterinary medicine","Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo","Пољопривреда, шумарство, рибарство и ветеринарство","Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",18,6
arts_and_humanities,Arts and humanities,Umjetnost i humanističke nauke,Умјетност и хуманистичке науке,Umjetnost i humanističke znanosti,18,6
business_administration_and_the_law_of_everything,Business administration and the law,"Poslovanje, administracija i pravo","Пословање, администрација, и право","Poslovanje, administracija i pravo",18,6
education,Education,Obrazovanje,Образовање,Obrazovanje,18,6
engineering_manufacturing_and_construction,"Engineering, manufacturing and construction","Inženjerstvo, proizvodnja i građevinarstvo","Инжењерство, производња и грађевинарство","Inženjerstvo, proizvodnja i građevinarstvo",18,6
health_and_social_protection,Health and social protection,Zdravstvo i socijalna zaštita,Здравство и социјална заштита,Zdravstvo i socijalna skrb,18,6
information_and_communication_technologies,Information and communication technologies,Informacijske i komunikacijske tehnologije,Информационе и комуникационе технологије,Informacijske i komunikacijske tehnologije,18,6
natural_sciences_mathematics_and_statistics_of_all,"Natural sciences, mathematics and statistics","Prirodne nauke, matematika i statistika","Природне науке, математика, и статистика","Prirodne znanosti, matematika i statistika",18,6
services,Services,Usluge,Услуге,Usluge,18,6
social_sciences_journalism_and_information,"Social sciences, journalism and information","Društvene nauke, novinarstvo i informiranje","Друштвене науке, новинарство и информисање","Društvene znanosti, novinarstvo i informiranje",18,6
total,Total,Ukupno,Укупно,Ukupno,18,6
unknown,Unknown,Nepoznato,Непознато,Nepoznato,18,6
